system,question_type,Recall@1_mean,Recall@1_std,Recall@3_mean,Recall@3_std,Recall@5_mean,Recall@5_std,MRR@10_mean,MRR@10_std,nDCG@10_mean,nDCG@10_std
bm25,comparative,0.25,0.4385290096535146,0.4,0.49613893835683387,0.425,0.5006406152531232,0.3252380952380952,0.42521299765825826,0.4012185813081082,0.4714803899510995
bm25,conceptual,0.35,0.47997890248993547,0.475,0.5025252685881777,0.5,0.5031546054266276,0.4145138888888889,0.45649237638070383,0.4804995086404684,0.4819456122733805
bm25,factual,0.425,0.49746191254243755,0.575,0.4974619125424376,0.5875,0.4953901416106939,0.49959821428571427,0.45965722560748806,0.581412579240364,0.48814356477726584
bm25,procedural,0.275,0.4522025867763026,0.525,0.5057363253408151,0.65,0.48304589153964794,0.41875,0.4045184168522486,0.5598197315178594,0.4503073534409324
dense,comparative,0.25,0.4385290096535146,0.375,0.49029033784546017,0.375,0.49029033784546017,0.31875,0.4229459188092692,0.3968730201041692,0.45338027939699627
dense,conceptual,0.3375,0.47584036255125667,0.4375,0.4992082338658826,0.475,0.5025252685881777,0.39079861111111114,0.45241093181398784,0.45559844671872385,0.4642124392991687
dense,factual,0.375,0.48717735184622313,0.525,0.5025252685881778,0.525,0.5025252685881778,0.4453125,0.4602517269521617,0.5190894073713961,0.49608214656291105
dense,procedural,0.35,0.48304589153964794,0.4,0.49613893835683387,0.45,0.5038314736557788,0.3869047619047619,0.46736323881947056,0.42467842351698704,0.47531056994224946
hybrid,comparative,0.225,0.42290206176626033,0.4,0.49613893835683387,0.45,0.5038314736557788,0.325,0.40597390903211356,0.4258891280403,0.4624403751308944
hybrid,conceptual,0.3375,0.4758403625512566,0.4625,0.5017374874664179,0.5125,0.5029973450366554,0.41938988095238094,0.4414619998462076,0.5077494923911241,0.4568805873645315
hybrid,factual,0.4375,0.4992082338658826,0.55,0.5006325113218328,0.625,0.48717735184622313,0.5059523809523809,0.4570089403508507,0.5737213595274981,0.45610353801889447
hybrid,procedural,0.3,0.46409548089225705,0.45,0.5038314736557788,0.525,0.5057363253408151,0.41104166666666664,0.42399280477889423,0.5310524419604572,0.45432475225167795
